"index","id","platform","file_name","duration_seconds","likes","comments","shares","source_url","material_class","source_class","hook_source_status","hook_assembly_type","hook_type","audience","subtype","relation","conflict","emotion","storyBeat","acquisition","genre","theme","review_status"
"1","7618513642979347742","TikTok","01_A8_危险救援_TK_7618513642979347742.mp4","14","1300000","6475","16600","https://www.tiktok.com/@lilbitmaxwell/video/7618513642979347742","A","external_material","待人工确认","跨剧外搭","纯截停型","女性向","A8_危险救援","母子","孩子遇险","恐惧","紧急介入","危险悬念","","","画面初审通过_待入库复核"
"2","7626513345880853774","TikTok","02_A2_母爱保护_TK_7626513345880853774.mp4","6","467100","3230","6655","https://www.tiktok.com/@dontcopyme215/video/7626513345880853774","A","external_material","待人工确认","跨剧外搭","纯截停型","女性向","A2_母爱保护","母子","孩子受威胁","愤怒","挺身保护","母爱共情","","","画面初审通过_待入库复核"
"3","7548268768275811639","TikTok","03_A6_挺身保护_TK_7548268768275811639.mp4","7","136600","383","2165","https://www.tiktok.com/@.almondnilla/video/7548268768275811639","A","external_material","待人工确认","跨剧外搭","纯截停型","女性向","A6_挺身保护","保护者-被保护者","校园欺凌","感动","他人介入","弱者共情","","","画面初审通过_待入库复核"
"4","7299560055752494379","TikTok","04_A6_家庭反击_TK_7299560055752494379.mp4","8","7400000","21700","50900","https://www.tiktok.com/@rissakathryn/video/7299560055752494379","A","external_material","待人工确认","跨剧外搭","纯截停型","女性向","A6_家庭反击","姐妹","家人受辱","愤怒","当面对峙","反击期待","","","画面初审通过_待入库复核"
"5","7512185677308628229","TikTok","05_A8_危险救援_TK_7512185677308628229.mp4","10","61300","2433","4921","https://www.tiktok.com/@tvportalsertaopb/video/7512185677308628229","A","external_material","待人工确认","跨剧外搭","纯截停型","女性向","A8_危险救援","母子","车辆失控","惊恐","极限救援","生死悬念","","","画面初审通过_待入库复核"
"6","7529874027972660502","TikTok","06_A6_女性逆袭_TK_7529874027972660502.mp4","8","406700","2921","8940","https://www.tiktok.com/@storiesofjasveen/video/7529874027972660502","A","external_material","待人工确认","跨剧外搭","纯截停型","女性向","A6_女性逆袭","施害者-受害者","校园欺凌","释然","身份反差","逆袭期待","","","画面初审通过_待入库复核"
"7","7229765523586698539","TikTok","07_A2_母爱保护_TK_7229765523586698539.mp4","11","2500000","3316","8025","https://www.tiktok.com/@slavetothetrigger/video/7229765523586698539","A","external_material","待人工确认","跨剧外搭","纯截停型","女性向","A2_母爱保护","母子","欺凌上门","愤怒","挺身保护","不公激怒","","","画面初审通过_待入库复核"
"8","7593979120288025886","TikTok","08_A5_情感脱离_TK_7593979120288025886.mp4","10","1800000","1713","59500","https://www.tiktok.com/@ilovecupcakesyum111/video/7593979120288025886","A","external_material","待人工确认","跨剧外搭","纯截停型","女性向","A5_情感脱离","恋人","背叛","崩溃","关系决裂","背叛抓包","","","画面初审通过_待入库复核"
"9","7493235915805052191","TikTok","09_A8_危险救援_TK_7493235915805052191.mp4","12","186000","3929","10100","https://www.tiktok.com/@nbcsandiego/video/7493235915805052191","A","external_material","待人工确认","跨剧外搭","纯截停型","女性向","A8_危险救援","母子","自然灾害","紧张","抱走孩子","危险悬念","","","画面初审通过_待入库复核"
"10","7621332682936421646","TikTok","10_A6_手足保护_TK_7621332682936421646.mp4","6","4600000","2038","44300","https://www.tiktok.com/@_skylarundercover/video/7621332682936421646","A","external_material","待人工确认","跨剧外搭","纯截停型","女性向","A6_手足保护","姐弟","弟弟受威胁","愤怒","及时介入","亲情守护","","","画面初审通过_待入库复核"
