"index","id","platform","category","duration_seconds","likes","comments","shares","plays","source_url","caption","file_name","file_bytes","source_class","material_class","hook_type","audience","review_status"
"1","7618513642979347742","TikTok","A8_危险救援","14","1300000","6475","16600","14700000","https://www.tiktok.com/@lilbitmaxwell/video/7618513642979347742","This is my #runlikeamother  For context this happened over a year ago. My mother and I were in the kitchen with my youngest son. He was eating in his high chair and started to choke on his food. I realized what was happening and screamed for my mom. My mom rushed over and helped me flip my son over so I could preform the baby Heimlich. My husband was in the living room watching our eldest son and our dog. My husband heard me screaming and immediately ran to my aid confused and terrified. My husband has PTSD from the military. You can see the panic and relief on his face and body language after everything was over. Immediately after this video ended my husband came into the kitchen to comfort me and our son. My mother, my husband, my eldest son and even the dog ran to me as soon as I screamed.","01_A8_危险救援_TK_7618513642979347742.mp4","612863","external_material","A","纯截停型","女性向","待人工复核"
"2","7626513345880853774","TikTok","A2_母爱保护","6","467100","3230","6655","2400000","https://www.tiktok.com/@dontcopyme215/video/7626513345880853774","Over my baby I’ll crash out BIRTHDAY PARTY OVER ! #ísosmom #fyp #momsoftiktok #wlw #youngho ","02_A2_母爱保护_TK_7626513345880853774.mp4","988196","external_material","A","纯截停型","女性向","待人工复核"
"3","7632409512388889870","TikTok","A2_母爱保护","13","1100000","7690","93300","10500000","https://www.tiktok.com/@tacticoolmama/video/7632409512388889870","Best believe mama bear comes out when anyone tries to do anything to my child! ##autism##mamabear##animals##momtok##protect","03_A2_母爱保护_TK_7632409512388889870.mp4","1633860","external_material","A","纯截停型","女性向","待人工复核"
"4","7663517168880880910","TikTok","A5_母女情感","14","522200","1110","23500","3500000","https://www.tiktok.com/@lexx.b.golden/video/7663517168880880910","🪞
#georgiamiller #daughters #daughterlove #fyp ","04_A5_母女情感_TK_7663517168880880910.mp4","962651","external_material","A","纯截停型","女性向","待人工复核"
"5","7229765523586698539","TikTok","A2_母爱保护","11","2500000","3316","8025","24500000","https://www.tiktok.com/@slavetothetrigger/video/7229765523586698539","When your teenager has been bullied and the bullies show up at your house uninvited. #siblings #dontmesswithmykid #bullythebullies #fuckaroundandfindout #mamabear #scorpiogang #protectthem ","05_A2_母爱保护_TK_7229765523586698539.mp4","771952","external_material","A","纯截停型","女性向","待人工复核"
"6","7669812441273945364","TikTok","A3_不公欺凌","7","378900","1306","60400","2700000","https://www.tiktok.com/@girlwithdaburger/video/7669812441273945364","Confronting my bully #burgergirl #fyp #meme #funny #viral ","06_A3_不公欺凌_TK_7669812441273945364.mp4","3844546","external_material","A","纯截停型","女性向","待人工复核"
"7","7529874027972660502","TikTok","A6_女性逆袭","8","406700","2921","8940","3400000","https://www.tiktok.com/@storiesofjasveen/video/7529874027972660502","How the tables have turned... 

 #love  #bulliesneverwin #like #trending #explore #viral #girly #girlmemes #typ #foryouGlowUp #FullCircleMoment
#HighSchoolGlowUp #LifeComesFullCircle #ThenVsNow
#WatchMeEvolve #KarmalsReal #ThatGirlEra #MainCharacterEnergy #FYP #LevelUpJourney #SoftRevenge #FromHurtToHealing #NoMoreMeanGirls #thecomebackispersonal #OnMyWayUp #WatchThisSpace #RelatableAF #InspoReel","07_A6_女性逆袭_TK_7529874027972660502.mp4","552101","external_material","A","纯截停型","女性向","待人工复核"
"8","6893883722991406341","TikTok","A3_不公欺凌","14","3000000","14000","71000","11500000","https://www.tiktok.com/@pms_shopping/video/6893883722991406341","Mom takes no prisoners - this bully is going down! (Credit: @thismamastillgotit) #fyp #foryoupage #momsoftiktok #bully #moms #momsover30","08_A3_不公欺凌_TK_6893883722991406341.mp4","1713778","external_material","A","纯截停型","女性向","待人工复核"
"9","7593979120288025886","TikTok","A5_情感脱离","10","1800000","1713","59500","10300000","https://www.tiktok.com/@ilovecupcakesyum111/video/7593979120288025886","I was thrilled to be finally free😘🫰

#Ihatemyboyfriend #ihatemybf #fyp #Ihatemybffinalboss #foryoupage ","09_A5_情感脱离_TK_7593979120288025886.mp4","1436965","external_material","A","纯截停型","女性向","待人工复核"
"10","7548268768275811639","TikTok","A6_挺身保护","7","136600","383","2165","825400","https://www.tiktok.com/@.almondnilla/video/7548268768275811639","they stood up for me when nobody else would. and you already know she’s a fighter #moodboard #aesthetic ","10_A6_挺身保护_TK_7548268768275811639.mp4","881941","external_material","A","纯截停型","女性向","待人工复核"
