time_seconds,scene_score
0.72,0.476560
2.4,0.471135
4.56,0.405306
6,0.421681
9.88,0.420051
11.64,0.506372
14.12,0.518101
16.24,0.452426
18.96,0.528458
20.44,0.505266
22.44,0.483412
24.6,0.397636
26.2,0.452082
26.92,0.350751
28.32,0.576440
28.84,0.565732
29.6,0.553410
30.72,0.563824
31.52,0.458467
33.44,0.454813
34.4,0.550529
35.4,0.524533
37.2,0.450014
38,0.393314
39.88,0.479803
41.6,0.442886
48.04,0.457518
50.04,0.384266
52.88,0.435856
56.24,0.415676
57.4,0.394340
58.68,0.698987
59.56,0.557139
60.2,0.470111
63.76,0.735010
64.8,0.603534
72.48,0.373638
74.16,0.497006
83.24,0.350554
88.48,0.445700
89.36,0.507390
93.72,0.481406
101.44,0.419316
102.44,0.471875
104.36,0.488998
111.8,0.538830
115.8,0.475592
118.8,0.401309
121.72,0.617301
124.2,0.680443
127.32,0.352795
134.36,0.426550
136.6,0.359036
143.68,0.589096
145.16,0.537646
152.12,0.357382
160.2,0.564711
163,0.520354
165.36,0.519157
166.52,0.415929
173.44,0.463648
174.8,0.381201
179.12,0.537315
182.6,0.493329
188.16,0.704656
189.76,0.454057
192.56,0.382908
195.04,0.441339
195.64,0.556140
196.52,0.829866
202.8,0.654266
204.6,0.484140
205.4,0.623470
206.88,0.649618
212.44,0.405272
214.64,0.817607
219.72,0.522424
224.8,0.969084
240.36,0.362120
241.96,0.395286
243.44,0.419570
253.28,0.360628
254.88,0.372810
256.6,0.552185
269.68,0.356686
271.6,0.365914
276.04,0.457083
281.76,0.357025
297.72,0.442832
299.92,0.699599
302.04,0.528615
305.96,0.550194
307.32,0.714692
310.24,0.574742
313.52,0.572348
319.08,0.640606
330.4,0.413593
333.56,0.379774
334.32,0.428329
335.92,0.617907
337.32,0.411745
341.8,0.417571
346,0.380840
347.56,0.520555
355.52,0.480620
359.8,0.539266
365.76,0.599134
376.28,0.465966
378.84,0.415248
386.24,0.600095
387.56,0.456253
389.84,0.565802
395.84,0.646705
398.96,0.471361
400.8,0.623202
401.6,0.382763
404.44,0.621643
407.2,0.726711
407.84,0.381003
408.36,0.495701
410.24,0.475846
413.2,0.642966
416.08,0.727941
417.2,0.359304
420.64,0.575943
423.44,0.431813
425.44,0.401959
434.48,0.409998
444.24,0.396613
449.24,0.465019
451.2,0.482481
453.04,0.674464
454.64,0.538334
457.8,0.643961
461.32,0.618333
465.04,0.486428
469.84,0.553552
471.08,0.496614
472.44,0.464579
473.2,0.356347
475.36,0.422298
477.4,0.440907
479.4,0.500491
484.52,0.375891
487,0.356890
487.52,0.500510
488.2,0.451093
490.2,0.525997
495.4,0.579451
498.08,0.486076
501.52,0.595843
502.68,0.469272
506,0.633305
518.6,0.477588
520.76,0.368125
524,0.508490
525.28,0.541135
528.36,0.629677
530.8,0.527873
534.4,0.605653
534.56,0.371574
534.72,0.352587
535.6,0.663873
536.76,0.681132
539,0.543304
539.6,0.511996
540.8,0.473975
541.84,0.438819
544.92,0.494572
545.96,0.523173
547.48,0.553382
551.8,0.545241
552.88,0.351441
558.4,0.421039
563.6,0.400108
566.04,0.390786
582.8,0.586136
583,0.594852
585.44,0.561497
587.32,0.569926
590.88,0.513194
593.6,0.399665
599.88,0.383711
605.56,0.483864
605.88,0.354007
606.4,0.469209
606.56,0.431688
612.28,0.423868
625.6,0.359992
636.4,0.400331
639.16,0.632163
641.56,0.523003
643.44,0.404642
645.6,0.490411
647.16,0.521392
648.88,0.468117
653.2,0.602389
655.84,0.562570
658.56,0.566108
664.6,0.362060
668.76,0.504336
671.6,0.523679
678.4,0.576019
680.76,0.352953
682.68,0.538886
690.72,0.416682
692.36,0.445274
698.36,0.496640
703.88,0.422554
705.28,0.403903
706.88,0.417368
710.2,0.477503
712.16,0.408040
715.6,0.611216
718.04,0.567249
725.24,0.531148
732.68,0.361821
737.16,0.359577
738.56,0.469889
741,0.529568
742.28,0.601467
744.48,0.584314
744.56,0.721566
751.4,0.351882
757.96,0.400142
762.6,0.383986
764.56,0.381842
766.24,0.434084
776.76,0.367227
790.96,0.363867
812.92,0.356838
822.36,0.426450
830.36,0.581672
848.84,0.376379
856.92,0.401956
859.64,0.486848
865.72,0.367641
871.44,0.417095
887.64,0.463206
891.04,0.402144
902.76,0.439270
913.36,0.505630
917.72,0.460498
919.56,0.530675
920,0.448905
931.96,0.361350
935.16,0.399548
939.52,0.398245
942.96,0.389057
950.2,0.372604
957.6,0.370195
970.28,0.369243
989.28,0.406309
994.44,0.472587
995.68,0.411773
997.2,0.402389
999.24,0.392632
1009.96,0.452504
1017.36,0.458600
1023.2,0.495886
1024.68,0.407072
1032,0.568300
1033.08,0.450783
1043.88,0.431398
1047.4,0.369980
1048.88,0.392580
1058.16,0.375199
1061.44,0.395651
1077.24,0.351669
1079.08,0.363923
1082.44,0.434052
1084.28,0.500103
1085.4,0.444356
1087.64,0.504646
1090.12,0.587177
1093.12,0.496700
1101.56,0.399312
1112.24,0.475754
1115.76,0.445672
1118.12,0.425317
1127.16,0.470201
1141.32,0.374552
1145.64,0.411561
1146.8,0.465949
1152,0.377638
1156.12,0.399565
1162.2,0.395378
1166.2,0.369001
1171,0.353798
1172.52,0.389947
1173.44,0.380955
1174.12,0.361924
1179.84,0.354580
1184.04,0.404446
1188.44,0.385065
1203.6,0.374016
1204.28,0.372932
1213.28,0.370806
1214.08,0.417874
1215.12,0.587143
