time_seconds,scene_score
3.04,0.374885
7.12,0.415401
7.68,0.460808
8.48,0.445789
10.32,0.466292
10.68,0.585763
10.84,0.442646
11.16,0.554588
11.28,0.455995
11.36,0.549371
11.68,0.424537
11.88,0.475735
12.08,0.406613
12.24,0.528620
12.4,0.683175
12.52,0.531237
12.6,0.399412
12.8,0.522346
12.92,0.390816
13,0.493142
14.72,0.484435
15.84,0.842714
16.52,0.354212
16.6,0.403890
16.72,0.366504
17.76,0.399115
18.16,0.405329
19.32,0.515580
20.72,0.534797
23.4,0.742778
24.16,0.691946
25.92,0.494985
27.6,0.546734
28.92,0.542790
29.32,0.531430
31.76,0.476547
33.24,0.522835
35.92,0.547624
37.32,0.471204
38.92,0.540414
41.08,0.475567
42.32,0.633784
43.84,0.618396
44.96,0.655838
46.8,0.668162
48.8,0.566211
50.08,0.628782
53.48,0.825912
53.92,0.507887
54.76,0.591683
56.36,0.593900
59.8,0.645406
60.8,0.659133
61.92,0.672462
64.12,0.683264
64.8,0.575692
66,0.576764
67.12,0.487446
69.4,0.483590
70.64,0.507587
71.6,0.526985
73.08,0.518343
76.92,0.556697
79.52,0.610644
82.04,0.423358
82.12,0.426435
83.44,0.561203
85.4,0.452511
86.12,0.532515
86.92,0.604180
87.68,0.623997
92.04,0.526443
92.76,0.460084
95.16,0.414314
96.92,0.549898
97.8,0.438211
98.84,0.364084
99.04,0.670946
99.32,0.357696
99.52,0.572929
99.72,0.646997
99.92,0.636873
100.12,0.507241
100.32,0.775517
100.56,0.514744
101.24,0.425501
105.96,0.405968
106.92,0.816574
109.84,0.708833
111.92,0.604599
113.12,0.493972
113.68,0.517796
114.68,0.540833
116.4,0.531660
116.96,0.533157
117.64,0.627488
120.12,0.647367
121,0.729043
122.72,0.654921
123.2,0.423927
123.56,0.451329
123.84,0.499167
128.44,0.504203
130.24,0.533913
132.92,0.521308
135.04,0.500422
136.32,0.485818
138.04,0.565130
139.4,0.564325
143,0.629071
144.28,0.539692
146.4,0.515539
147.52,0.595514
148.96,0.446470
150.32,0.476407
152.24,0.472429
154.28,0.554861
155.92,0.585802
157.2,0.549439
158.28,0.636849
159,0.601502
159.68,0.499490
161,0.670129
162.52,0.616677
163.04,0.698217
164.64,0.491129
166.44,0.687545
167.72,0.421802
170.04,0.559805
171.76,0.375791
172.48,0.398250
173.32,0.415978
180.24,0.535896
183.72,0.570621
186.72,0.490949
187.92,0.448788
188.96,0.466260
190.04,0.519882
194.6,0.428986
196.28,0.534438
197.12,0.523804
199.12,0.553412
203.28,0.557268
205.28,0.536292
209.36,0.461986
210.16,0.502871
211.04,0.476413
212.56,0.539246
213.56,0.519028
215.24,0.371066
218.44,0.500814
219.68,0.604857
225.24,0.521094
226.24,0.402146
227.72,0.477851
229.28,0.561967
230.84,0.586833
234.2,0.534166
235.4,0.408588
236.72,0.463402
238.36,0.409206
241.04,0.466295
242.72,0.390065
244.16,0.528704
245.96,0.430627
247.08,0.498844
250.4,0.504478
251.48,0.378683
252.64,0.453201
252.72,0.467320
255.48,0.559931
256.92,0.482187
257.84,0.451282
258.32,0.473499
258.96,0.414172
260.28,0.469678
268.84,0.392515
270.36,0.435385
272.48,0.446880
276.12,0.447824
278.52,0.454996
279.72,0.405506
281.12,0.481767
282.52,0.398485
284.8,0.412690
286.32,0.451513
289.08,0.455818
289.6,0.401229
290.52,0.476467
291.4,0.409824
292.32,0.488486
296.16,0.362056
297.52,0.360278
298.64,0.606836
300.04,1.000000
300.16,1.000000
300.4,0.364222
300.64,0.416817
303.52,0.501020
305.92,0.536331
307.12,0.634296
308.92,0.561877
311.04,0.657224
312.44,0.492043
313.52,0.412527
315.08,0.489811
316.08,0.384728
318.12,0.518694
319.28,0.589812
321.92,0.592330
322.8,0.645411
324.16,0.531706
325.84,0.373721
327.96,0.445781
328.52,0.694973
328.6,0.673267
329.72,0.402743
332.32,0.387465
333.12,0.379486
333.72,0.370086
334.72,0.510136
335.6,0.519888
336.28,0.517153
336.76,0.488953
338.24,0.524498
340.12,0.523205
341.56,0.409374
344,0.394901
345.84,0.483555
346.72,0.465368
347.68,0.417038
349.92,0.478535
352.16,0.409113
353.4,0.534482
356,0.388398
358.08,0.446058
358.92,0.508285
361.64,0.413747
363.68,0.505355
364.72,0.521041
366.48,0.492858
369.56,0.531850
371.84,0.419567
373.28,0.588987
376.08,0.564398
377.36,0.544452
379.4,0.553949
380.88,0.549695
386.88,0.390250
391.24,0.370735
391.96,0.376655
393.72,0.633542
396,0.787305
400.4,0.484853
404.12,0.654421
405.2,0.709040
408.92,0.638130
410.56,0.545445
411.92,0.538467
412.6,0.521212
416.32,0.687032
417.6,0.505878
417.72,0.644087
418.92,0.632166
420.12,0.580532
422.24,0.555443
423.08,0.487499
423.72,0.488277
425.08,0.509620
427.36,0.440092
428.88,0.387268
430.48,0.505158
431.44,0.460144
433.56,0.525026
435.32,0.584008
437.68,0.528112
439.4,0.475945
440.56,0.453778
442.4,0.410709
444.16,0.411626
447.52,0.464981
448.64,0.432928
450.72,0.531869
451,0.572905
451.48,0.508521
452.8,0.661238
453.88,0.503408
454.36,0.405924
455.52,0.375789
455.72,0.484106
456.32,0.485661
460.76,0.516233
461.92,0.555786
463.88,0.614355
465.6,0.365954
465.72,0.567077
465.84,0.458987
465.92,0.434407
466.48,0.502908
467.68,0.505072
470.72,0.355165
471.52,0.558486
473.32,0.651587
474.4,0.492637
475.12,0.473150
475.88,0.504868
477.36,0.407953
479.88,0.436084
480.72,0.541372
481.6,0.621621
483.8,0.442360
484.96,0.460703
486.08,0.414477
487.08,0.379934
487.96,0.441007
489.68,0.458297
490.72,0.561455
491.84,0.475554
496.24,0.382436
498.2,0.568628
499.8,0.445892
503.76,0.350661
507.44,0.414759
509.12,0.472762
510.2,0.384697
512.28,0.469865
514.88,0.439858
517.32,0.468796
518.68,0.398441
519.84,0.442739
522.4,0.420611
524.28,0.408623
526.72,0.476184
528.2,0.502512
530.8,0.453407
533.56,0.536346
537.24,0.507653
539.96,0.548476
542.36,0.586290
543.64,0.476172
547.56,0.493320
550.48,0.555873
555.2,0.371110
556.32,0.456777
559.12,0.518011
561.2,0.506291
563.92,0.401505
566.08,0.498946
568.68,0.501623
571.8,0.400678
573.52,0.507977
575.16,0.406118
576.92,0.413306
578.8,0.468040
580.56,0.464926
582.24,0.713508
583.56,0.570782
584.36,0.433890
585.32,0.483500
586.36,0.486072
587.56,0.551912
589.32,0.662392
590.56,0.700428
592.72,0.748294
595.28,0.716985
596.68,0.611615
