time_seconds,scene_score
3.32,0.501122
4.52,0.588346
5.76,0.480398
8.24,0.761969
10.28,0.381476
12.8,0.483121
13.8,0.471131
14.28,0.493154
15.6,0.426664
16.6,0.419363
18.8,0.453773
20.16,0.413983
21.16,0.430275
23.04,0.406894
23.4,0.415757
25.56,0.422772
26.36,0.470811
26.8,0.380462
31.36,0.405572
32.52,0.360511
34.6,0.483694
35.28,0.495891
37.08,0.512041
39.36,0.458567
40.48,0.604855
41.76,0.589193
42.52,0.549733
44.36,0.493338
46.76,0.478647
47.96,0.487511
49.6,0.495839
54,0.468347
58.16,0.546382
60.16,0.542455
64.04,0.572723
67.76,0.501637
72.92,0.453923
77.44,0.468934
79.8,0.466858
81.88,0.431777
83,0.560144
84.72,0.596954
86.2,0.562398
87.36,0.487711
89.28,0.477621
91.08,0.488660
92.92,0.683909
94.6,0.465126
95.8,0.452335
96.76,0.475904
99.12,0.425974
100.6,0.498079
102.6,0.480319
105.68,0.496673
107.08,0.458639
107.88,0.477566
109,0.352269
110.88,0.388203
112.04,0.535274
114.32,0.394834
115.12,0.409245
117.68,0.459878
118.72,0.367917
119.68,0.548351
120.52,0.443760
121.96,0.392580
124,0.397550
129.92,0.449760
131.44,0.423414
132.96,0.403662
140.6,0.396193
141.8,0.432714
147.16,0.367961
148.4,0.486669
149.68,0.494334
150.88,0.565681
152.76,0.490401
156,0.403481
157.68,0.441956
159.16,0.482729
160.56,0.431220
161.72,0.508682
164.24,0.400064
165.6,0.434794
167.04,0.497556
168.2,0.628781
172.92,0.399375
175.44,0.577206
176.52,0.532963
177.2,0.586243
178.32,0.523369
179.32,0.517853
180.6,0.509846
182.08,0.523126
183.8,0.420562
184.32,0.546308
186.12,0.466204
187.72,0.530027
189.6,0.691082
191.52,0.547157
193.04,0.374377
194.24,0.488899
196.84,0.428233
198.4,0.474078
200.28,0.455371
202.28,0.359740
205.68,0.543346
211,0.560822
217.32,0.563320
220.24,0.471845
222.52,0.386952
226.24,0.444833
233.44,0.606976
234.88,0.670341
237.08,0.588394
241.28,0.586758
244.6,0.603257
252.8,0.457379
255.6,0.521502
260.24,0.535571
263.52,0.622556
269.32,0.519891
271.04,0.525824
272.2,0.540288
274.4,0.501086
279.32,0.435033
280.96,0.425087
283.88,0.502543
285.28,0.551385
286.32,0.512250
288.52,0.558665
293,0.645811
294.12,0.609206
295.08,0.456561
295.84,0.424498
296.52,0.481709
297.8,0.377413
301.28,0.422292
304.84,0.412877
310.88,0.465621
321.16,0.353553
326.12,0.377414
334.4,0.427735
339.32,0.429508
342.88,0.642943
346.72,0.598757
350.2,0.558769
352.32,0.505294
356.32,0.423968
362.24,0.391755
367.52,0.372345
370.32,0.486488
371.64,0.576954
374.12,0.383484
377.4,0.418917
379.04,0.363877
380,0.374519
380.68,0.454884
383.4,0.523992
384.56,0.410087
386.8,0.430217
390.32,0.521065
391.88,0.516421
392.84,0.492417
394.84,0.583805
396.68,0.511539
398.16,0.530082
401.88,0.479803
403.32,0.484661
404.64,0.494730
406.72,0.543650
411.36,0.438250
414.8,0.463836
415.72,0.597706
421.04,0.599908
433,0.712764
433.56,0.784594
437.6,0.429709
438.92,0.450291
440.36,0.382028
441.8,0.526353
442.8,0.401223
444.36,0.411225
445.96,0.373192
452.08,0.606990
453.92,0.549449
455.8,0.368032
458.04,0.354404
461.88,0.605751
463.24,0.373305
464.56,0.528963
